title,description,points,price,variety,region_1,variety_region
Cottanera 2006 Sole di Sesta Syrah (Sicilia),"Aromas span from black fruit, to spice to smoked ham and the wine is soft and velvety on the finish. This thick and luscious Syrah offers a ripe and sunny wine experience that would pair with succulent steak or pork roast.",90,,Syrah,Sicilia,Syrah-Sicilia
Sequoia Grove 2009 Cabernet Sauvignon (Napa Valley),"Rich and ripe, this features blackberry and currant flavors whose acidity provides a citrusy, jammy tartness. This is the winery's least expensive bottling, and an enticing introduction to its future releases of '09 vineyard-designated Cabs.",87,38.0,Cabernet Sauvignon,Napa Valley,Cabernet Sauvignon-Napa Valley
Le Pianelle 2013 Al Posto dei Fiori Rosato Red (Coste della Sesia),"A blend of Nebbiolo, Vespolina and Croatina, this boasts delicate floral and fruit aromas of white rose and wild berry. Juicy red cherry and fleshy strawberry drive the vibrant palate while hints of baking spice provide the backdrop.",90,23.0,Red Blend,Coste della Sesia,Red Blend-Coste della Sesia
Terre di Fiori 2008 Ventaio  (Morellino di Scansano),"Here's a lovely Morellino di Scansano set apart by a drying, dusty tone that recalls brimstone or crushed granite stone. There's fruit here—mostly cherry and blackberry—but it plays a supporting role.",88,,Sangiovese,Morellino di Scansano,Sangiovese-Morellino di Scansano
Bella 2010 Maple Vineyards Zinfandel (Dry Creek Valley),"This Zin wants two or three years to round off the jagged edges. There's a lot going on, from the supple blackberry, leather and pepper flavors, wildly exotic spices and smooth tannins to an undefinable earthy-mineral taste that must come from the soil. There's some burn from alcohol, as Zins from the Maple Vineyards tend to exhibit.",91,40.0,Zinfandel,Dry Creek Valley,Zinfandel-Dry Creek Valley
Rijckaert 2014 Les Terres du Sud Viellies Vignes  (Saint-Véran),"Different parcels of old vines in the south of the appellation produce a smooth and well-balanced wine. With touches of toast as well as crisp lemon and ripe melon fruits, it is rich and intense with lively, juicy acidity. A generous wine, it is ready to drink.",90,28.0,Chardonnay,Saint-Véran,Chardonnay-Saint-Véran
Stolpman 2015 Hilltops Syrah (Ballard Canyon),"This red comes from one of the appellation's most important vineyards. Immense amounts of black peppercorn and raw beef show on the nose of this awesome bottling, which also offers soy-crusted meats that are gamy but not harsh. Rosemary oil, pine needle and peppercorns decorate the palate. It has a meaty lamb-roast richness at its core.",94,48.0,Syrah,Ballard Canyon,Syrah-Ballard Canyon
Valley of the Moon 2010 Chardonnay (Sonoma Coast),"Buttered toast, caramel, vanilla bean, spice and pineapple and orange jam aromas and flavors mark this wine. It's a little sweet and white sugary on the finish.",85,16.0,Chardonnay,Sonoma Coast,Chardonnay-Sonoma Coast
Foxen 2011 Cuvée Jeanne Marie Grenache-Mourvèdre (Santa Ynez Valley),"With 15% alcohol by volume, this is the headiest of Foxen's new 2011 reds. A blend of Grenache and Mourvèdre, it's fruity almost to the point of sweetness in raspberries and cherries, but turns dry and crisp on the finish. A delightful red wine to drink now with almost anything, and you can even put a little chill on it.",89,44.0,Grenache-Mourvèdre,Santa Ynez Valley,Grenache-Mourvèdre-Santa Ynez Valley
Pellet Estate 2014 Pellet Vineyard Henry's Reserve Red (Napa Valley),"This small-production blend of 85% Cabernet Sauvignon and 15% Merlot from winemaker Tom Rinaldi is rounded and juicy, with moderate acidity. It shows generous clove, cinnamon and black cherry flavors, the structure supportive and graceful.",92,125.0,Bordeaux-style Red Blend,Napa Valley,Bordeaux-style Red Blend-Napa Valley
Leto 2008 Chardonnay (Carneros),"This is a dry, firmly crisp Chardonnay, with pineapple, apricot, mineral and vanilla flavors. It's somewhat simple and direct, but very clean and zesty. Nice for drinking now.",86,30.0,Chardonnay,Carneros,Chardonnay-Carneros
Col d'Orcia 2007 Poggio al Vento Riserva  (Brunello di Montalcino),"Crushed berry, leather, scorched earth, carob and underbrush are just some of the aromas offered by this powerfully structured Brunello. The ripe, warm palate delivers layers of juicy black cherry, black raspberry, tobacco, clove and grilled herb alongside firm, chewy tannins. Drink 2017–2027.",94,150.0,Sangiovese,Brunello di Montalcino,Sangiovese-Brunello di Montalcino
Native Sun 2010 Cabernet Sauvignon (Red Mountain),"All varietal coming from Heart of the Hill Vineyard, this brooding wine offers aromas of dark coffee, cherry, bittersweet chocolate, clove and assorted barrel spices (80% new French). It's classically styled with reserved, almost elegant fruit flavors, bright acid and firm tannins that need time in the cellar to soften. Best after 2020.",91,65.0,Cabernet Sauvignon,Red Mountain,Cabernet Sauvignon-Red Mountain
Farnese 2010 Casale Vecchio Pecorino (Terre di Chieti),"There's an easy, informal quality to this white wine that makes it appropriate to pair with roast chicken or baked fish. The Pecorino grape can often be heavy and buttery, but this expression is surprisingly fresh and zesty instead.",87,18.0,Pecorino,Terre di Chieti,Pecorino-Terre di Chieti
Alex Gambal 2013 Maltroie Premier Cru  (Chassagne-Montrachet),"The premier cru is right in the heart of the appellation, close to the village. This wine, with its intense fruits and strongly textured character, is still trying out its structure and density. The potential is there with apricot and apple fruits waiting to come thorough the tight structure. Drink this fine wine from 2018.",93,75.0,Chardonnay,Chassagne-Montrachet,Chardonnay-Chassagne-Montrachet
Carol Shelton 2012 Wild Thing Old Vine Zinfandel (Mendocino),"Not overly full-bodied, not overly ripe, not overly wild, but just right for dinner time. It's well balanced, velvet textured and multilayered. Brambly, bright raspberry and blackberry flavors fill the mouth, supported by smooth tannins and good acidity that keep it lively and appetizing through the long finish.",92,19.0,Zinfandel,Mendocino,Zinfandel-Mendocino
Pago de Carraovejas 2012 El Anejón  (Ribera del Duero),"A more intense version of Carraovejas's Reserva from 2012, this also includes more than 20% Cabernet Sauvignon and Merlot. Thus it's spicy and prickly on the nose, with road tar and peppery notes in addition to potent berry fruit. A rich saturated rumbling palate deals coffee, toast, blackberry and herbal flavors that are much like the Reserva but more amplified. A charred finish has a lemony ring to it. Drink from 2020 through 2030.",93,136.0,Red Blend,Ribera del Duero,Red Blend-Ribera del Duero
Northwest Cellars 2010 Coyote Canyon Vineyard Syrah (Horse Heaven Hills),"This 100% varietal wine offers lightly volatile notes of vanilla, coconut, pepper and dried cherries. The fruit flavors show good concentration along with a beguiling feel and a finish that lingers. Although the wood takes center stage, it plays its part well.",88,32.0,Syrah,Horse Heaven Hills,Syrah-Horse Heaven Hills
Penfolds 2009 Koonunga Hill Chardonnay (South Australia),"Penfolds' entry-level Chardonnay is a medium-bodied, easy-drinking wine with modest fig and anise notes. Drink up.",84,11.0,Chardonnay,South Australia,Chardonnay-South Australia
Château Plaisance 2011 Rosé (Fronton),"This is a smooth, rounded rosé made mainly from Négrette. Along with its youthful crispness, it also has a more creamy side and a crushed strawberry flavor, all lightened by balancing acidity.",85,,Rosé,Fronton,Rosé-Fronton
Pedroncelli 2012 Signature Selection Pinot Noir (Russian River Valley),This is a dry wine that's a bit acidic and watery with thin sour-cherry candy flavors and a hit of oak.,83,20.0,Pinot Noir,Russian River Valley,Pinot Noir-Russian River Valley
Blakeslee 2014 Rosé of Pinot Noir (Chehalem Mountains),"One of the top Pinot rosés of the vintage, this is beautiful to look at, to sniff and to sip. The color of pale pink cherry blossoms, it matches rather delicate complexity to surprising concentration, pushing ripe cherry fruit front and center. It's finished dry, and should not be over-chilled, or you'll miss the lovely aromatics.",91,30.0,Pinot Noir,Chehalem Mountains,Pinot Noir-Chehalem Mountains
Domaine François Schmitt 2011 Bollenberg Sylvaner (Alsace),"This soft and round wine has a caramelized pear flavor, giving it a warm, rich feel. Its crisp acidity balances the ripe fruit, providing a light, fruity finish.",86,,Sylvaner,Alsace,Sylvaner-Alsace
Cave de Beblenheim 2012 Baron de Hoen Riesling (Alsace),"A very floral wine, it shows a spicy side that brings out a character that is not completely dry. It's soft and rounded while still keeping some acidity. Drink now.",84,,Riesling,Alsace,Riesling-Alsace
Derey Frères 2011 Vieilles Vignes  (Fixin),"This finely balanced, juicy wine is full of red-fruit aromas and brisk acidity. Juicy and bright with strawberry flavors and refreshing acidity, it's a value wine with great potential. Drink from 2015.",88,33.0,Pinot Noir,Fixin,Pinot Noir-Fixin
Castello di Gabbiano 2011 Bellezza Gran Selezione  (Chianti Classico),"Aromas of ripe berry, grilled herb, leather and game lead the nose. The palate offers spiced plum, dried black cherry, mint, espresso, toast and vanilla alongside round tannins. Drink through 2019.",89,38.0,Sangiovese,Chianti Classico,Sangiovese-Chianti Classico
Jax 2015 Y3 Chardonnay (Napa Valley),"This is a remarkable effort at the price, the wine sourced from Beckstoffer-owned sites in Carneros. Apple, peach and lemon highlight an integrated, vibrantly fresh experience on the palate, which lingers and impresses long after the finish.",93,20.0,Chardonnay,Napa Valley,Chardonnay-Napa Valley
Domaine Charles Baur 2010 Pinot Blanc (Alsace),"This is a light wine, attractively fruity with peach and apricot flavors. Intense acidity gives a fine kick to the texture, while also showing a dry, citrus-dominated side. Ready to drink.",86,14.0,Pinot Blanc,Alsace,Pinot Blanc-Alsace
Domaine du Grand Bouqueteau 2008 Rosé Cabernet Franc (Chinon),"Crisp, dry, light wine, its freshness coming from redcurrant fruits. A gentle caramel overlay gives extra weight.",86,15.0,Cabernet Franc,Chinon,Cabernet Franc-Chinon
Château d'Azur 2015 Tradition Rosé (Bandol),"The Mourvèdre in this ripe wine lends a wonderful spice and herbal character. While the wine is full and rich, it also has a fine refreshing line of raspberry fruit. The wine is ready to drink.",88,26.0,Rosé,Bandol,Rosé-Bandol
Tenuta San Francesco 2007 Tramonti White (Campania),"This intriguing blend of Falanghina, Biancolella and Pepella (three relatively unknown indigenous grapes) has a candy- or soda-like quality that recalls butterscotch and caramel. However, those notes are balanced by an elegant mineral tone and the wine has good dimension on the close.",85,21.0,White Blend,Campania,White Blend-Campania
Vieux Château Mazerat 2008  Saint-Émilion,"Very intense wine, packed with dark tannins, solid and powerful. It is leavened with great perfumes, while the overall effect is dark, brooding and concentrated.",93,110.0,Bordeaux-style Red Blend,Saint-Émilion,Bordeaux-style Red Blend-Saint-Émilion
Gabriel Meffre 2016 La Châsse Syrah Rosé (Vin de France),"Syrah-like aromas make this an attractive, soft wine. Its red berry fruit and balanced acidity are well in place for warm-weather drinking.",85,10.0,Rosé,Vin de France,Rosé-Vin de France
The Crusher 2009 Grower's Selection Petite Sirah (Clarksburg),"So young, it tastes like it's still fermenting. Not a bad wine, but freshly tart and strong in grapy flavors. Should calm down by mid-2011 and become a nice, full-bodied and dry red wine.",84,15.0,Petite Sirah,Clarksburg,Petite Sirah-Clarksburg
WillaKenzie Estate 2013 Pinot Gris,"This is a lush and fragrant wine, instantly appealing with aromas of orange blossom and sweet pear. Quite dry and concentrated, it brings further flavors of citrus, grapefruit and lemon rind as it plays out in a lingering, refreshing finish.",92,21.0,Pinot Gris,Willamette Valley,Pinot Gris-Willamette Valley
Kings Ridge 2012 Pinot Gris (Willamette Valley),"This fruit-driven Pinot Gris blends green apple, melon and pear, with a hint of celery suggesting some less-than-ripe fruit in the mix also. The finish turns a little bitter.",86,13.0,Pinot Gris,Willamette Valley,Pinot Gris-Willamette Valley
David Sterza 2011  Amarone della Valpolicella Classico,"Pressed violet, baked plum, baking spice and coconut emerge on the nose and carry over to the full-bodied palate along with ripe black cherry and licorice. Tightly packed but refined tannins provide firm support.",90,45.0,Red Blend,Amarone della Valpolicella Classico,Red Blend-Amarone della Valpolicella Classico
Windstream 2011 Sarmento Vineyard Chardonnay (Santa Lucia Highlands),"This wine is as lush as apricots, pineapples and peach juice, but with refreshing acidity. Ample honey and buttered-toast notes from oak give it warmth. It's a very good Chard for drinking now with rich shellfish dishes, or a buttery wild mushroom risotto.",88,28.0,Chardonnay,Santa Lucia Highlands,Chardonnay-Santa Lucia Highlands
Iron Horse 1998 Thomas Road Vineyard Pinot Noir (Sonoma County),"This wine become pretty pricey but that's because consumers recognize its quality; its sheer deliciousness can't be beat. It has all the elements of fine Russian River Pinot—it's dry and has lots o f ripe fruit, pretty oak, toast and spice—and it puts them all together in a super-elegant package. The vintage is light but the wine doesn't seem to mind. Its class shows. `",90,50.0,Pinot Noir,Sonoma County,Pinot Noir-Sonoma County
Pezzi King 2013 Oakey Grande Estate Zinfandel (Dry Creek Valley),"Fistfuls of oak, heat and chocolate-covered blackberry form the basis for this hugely ripe, leathery wine that features a sideshow of tannin. Brick and licorice notes fill out the rest of the generously robust package.",87,34.0,Zinfandel,Dry Creek Valley,Zinfandel-Dry Creek Valley
Proelio 2012 Cepa a Cepa  (Rioja),"Smoky, charred aromas of leathery berry fruits and coffee are staunch and potent. Matching the nose, this feels plump and full in body and soul. Earthy cherry and berry flavors come with a hint of herbal plum. On the finish, this rises up, beats its chest, and shows gravitas and fine oak. Drink through 2024.",92,40.0,Tempranillo,Rioja,Tempranillo-Rioja
Perlage NV Canah Brut  (Conegliano Valdobbiadene Prosecco Superiore),"Made with organically-farmed Glera grapes, this sparkling Prosecco Superiore opens with subtle tones of lemon or almond blossom with slightly more sweetness than you usually get with a Brut sparkler.",85,13.0,Glera,Conegliano Valdobbiadene Prosecco Superiore,Glera-Conegliano Valdobbiadene Prosecco Superiore
Domaine Rotier 2007 Renaissance Doux Loin de l'Oeil (Gaillac),"Classic botrytis sweet and dry flavors bring out the rich honey and lemon juice. The wine also has freshness, a tight edge of orange and sweet chutney spice. A great example of sweet Gaillac.",91,30.0,Loin de l'Oeil,Gaillac,Loin de l'Oeil-Gaillac
Van Ruiten 2012 Rooster Vineyard Sauvignon Blanc (Lake County),"This Lake County Sauvignon Blanc from a Lodi-based producer shows off the North Coast appellation well, with pear compote and marshmallow on the nose, followed by a taste of apricot fuzz and oak, medium in body with a long-lasting finish.",86,13.0,Sauvignon Blanc,Lake County,Sauvignon Blanc-Lake County
Brian Carter Cellars 2013 One Olsen Vineyard Merlot (Yakima Valley),"The aromas of cocoa and dark raspberry are speckled with light barrel accents. The red-fruit flavors are ripe and generous, dipping in the middle before coming back together on the elegant finish.",88,55.0,Merlot,Yakima Valley,Merlot-Yakima Valley
Feudi di San Gregorio 2010  Greco di Tufo,"Thanks to its large case production, this crisp Greco di Tufo should be easy to locate at your local wine store or supermarket. It offers a wonderful introduction to southern Italian, volcanic soil winemaking thanks to drying mineral tones, pear and apple.",88,20.0,Greco,Greco di Tufo,Greco-Greco di Tufo
Madrigal 2013 Cabernet Sauvignon (Napa Valley),"This is a likably round, approachable and affordable varietal wine, blended with small amounts of Merlot, Cabernet Franc, Malbec and Petit Verdot. Sage, blackberry and mocha dot the landscape of a rugged, succulent bounty, finishing with power and concentration.",88,45.0,Cabernet Sauvignon,Napa Valley,Cabernet Sauvignon-Napa Valley
Beringer 2001 Alluvium Blanc Semillon-Sauvignon Blanc (Knights Valley),"A Sauvignon Blanc and Sémillon blend with crisp acidity, a smooth, clean finish and citrus and fig flavors.",84,16.0,Semillon-Sauvignon Blanc,Knights Valley,Semillon-Sauvignon Blanc-Knights Valley
Château Lastours 2012 Red (Gaillac),"This characteristic blend of Braucol, Duras, Syrah and Cabernet Sauvignon is light, soft and fruity with red berry flavors. It is ready to drink with its rounded, smooth aftertaste. Braucol is the local patois name for Fer Servadou.",86,12.0,Red Blend,Gaillac,Red Blend-Gaillac
The Winery SF 2013 Chardonnay (North Coast),"This medium-bodied Chardonnay smells sweet like marshmallows but tastes dry. It shows mild peach and lean apple flavors, a slight earthy touch and crisp-enough balance.",84,25.0,Chardonnay,North Coast,Chardonnay-North Coast
Rochioli 2009 Chardonnay (Russian River Valley),"While the apricot, orange and green apple flavors in this Chardonnay are strong and sweet, the wine is balanced by brisk acidity and a minerality that feels and tastes like a lick of steel. It's a nice wine to drink now, although it's pricey for what you get.",87,48.0,Chardonnay,Russian River Valley,Chardonnay-Russian River Valley
Augey 2011  Bordeaux,"Young and fruity, this wine can be enjoyed now for its fruitiness or aged over 2–3 years. The attractive black-currant flavor is pleasant now.",84,,Bordeaux-style Red Blend,Bordeaux,Bordeaux-style Red Blend-Bordeaux
Cantina Produttori San Michele Appiano 2010 Lahn Sauvignon (Alto Adige),"To preserve the freshness of its aromas, this was aged only in stainless steel . This bright Sauvignon delivers a spicy, fresh finish with lasting tones of white flower, peach and wild sage.",87,20.0,Sauvignon,Alto Adige,Sauvignon-Alto Adige
Raymond 2005 Reserve Merlot (Napa Valley),"Ripe and forward in chocolate-covered raisin, cherry, peppermint and sweet oak flavors. With its fleshy mouthfeel, this pretty Merlot is ready to drink now.",87,24.0,Merlot,Napa Valley,Merlot-Napa Valley
Domaine Laroche 2011 Saint-Martin  (Chablis),"This is crisp and attractively citrusy, with a touch of caramel. It's bright and fruity, with apple and lemon flavors that are well integrated with the piercingly refreshing acidity. Screwcap.",86,,Chardonnay,Chablis,Chardonnay-Chablis
Domaine Antonin Guyon 2015 Les Charmes Dessus Premier Cru  (Meursault),"This ripe and fruity wine has just the right amount of mineral texture to give it a zesty character. It offers hints of toast, attractive juicy acidity and a lively, bright aftertaste. The wine needs to lose the slight earthy flavor from bottling that should soon blow away.",90,108.0,Chardonnay,Meursault,Chardonnay-Meursault
Marie Copinet NV Brut Extra Quality  (Champagne),"This wine, blending one-third each of the three main Champagne grapes, is crisp, although with a dosage that gives it a soft edge. Full of ripe apple and warm melon fruit, it has acidity as well as a gentle texture. The wine is balanced and ready to drink.",87,40.0,Champagne Blend,Champagne,Champagne Blend-Champagne
Domaine Henri Delagrange 2014 Vieilles Vignes  (Volnay),This wine comes from a four-acre parcel of 55-year-old vines. It has the concentration that is so special to old vines. That goes with the ripe red fruits and generous tannins that give the wine great richness. It is a young wine still even though so fruity and will be better to drink from 2019.,91,64.0,Pinot Noir,Volnay,Pinot Noir-Volnay
River Road 2006 Stephanie's Vineyard Pinot Noir (Green Valley),"Shows lots of lusciousness, with rich raspberry, cherry and cola flavors spiced up with cinnamon, anise and nutmeg. The body is silky, just the way Pinot Noir should be. Probably at its best now and for a year or two.",87,30.0,Pinot Noir,Green Valley,Pinot Noir-Green Valley
Lullaby 2011 Blanc de Virginie Sauvignon Blanc (Columbia Valley (WA)),"Named for winemaker Virginie Bourgue, this entirely stainless-fermented Sauvignon Blanc has a grassy, spicy edge reminiscent of Loire Valley whites. It's also tongue-twistingly tart, a reflection of the vintage, like a lemon explosion in the mouth. In other words, this is a perfect seafood wine.",88,22.0,Sauvignon Blanc,Columbia Valley (WA),Sauvignon Blanc-Columbia Valley (WA)
Vigne Surrau 2014 Branu  (Vermentino di Gallura),"Here's a savory, medium-bodied white that delivers aromas and flavors of yellow flower, ripe yellow apple, juicy peach, lemon zest and flint. An almond note backs up the finish while modest acidity provides balance.",90,15.0,Vermentino,Vermentino di Gallura,Vermentino-Vermentino di Gallura
Agostina Pieri 2012  Rosso di Montalcino,"Concentrated and ripe, this offers sensations of forest floor, vanilla, sweet oak, espresso, chocolate and black cherry extract. You'll also feel the burn of evident alcohol on the warm midpalate. It's already forward and evolved so drink now.",86,24.0,Sangiovese,Rosso di Montalcino,Sangiovese-Rosso di Montalcino
Rattalino 2011  Barolo,"Dark berry, baking spice, herb, tobacco and a menthol note lead the nose along with a whiff of oak. The linear palate is still all wound up, showing more dark spice than fruit richness. Racy acidity and astringent tannins provide a firm backbone.",89,55.0,Nebbiolo,Barolo,Nebbiolo-Barolo
Les Quatre Tours 2013 Classique Rosé (Coteaux d'Aix-en-Provence),"Properly light in color, this is crisp, fruity and deliciously fresh. Some weight comes from ripe strawberry fruits as well as touches of vanilla. The acidity at the end brings refreshment.",87,16.0,Rosé,Coteaux d'Aix-en-Provence,Rosé-Coteaux d'Aix-en-Provence
Sebastiani 2009 Merlot (Alexander Valley),"Good price for such a lush, likeable Merlot. It's soft and rich in cherries, red currants and licorice. This is easly the best Sebastiani Merlot in many years.",91,24.0,Merlot,Alexander Valley,Merlot-Alexander Valley
Nino Franco NV Rustico  (Valdobbiadene Prosecco Superiore),"This luminous sparkler opens with aromas of jasmine, orange blossom and white peach. The crisp, refreshing palate doles out green apple, Bartlett pear and white almond alongside vibrant acidity and a silky mousse.",90,18.0,Glera,Valdobbiadene Prosecco Superiore,Glera-Valdobbiadene Prosecco Superiore
Dr. Konstantin Frank 2011 Reserve Riesling (Finger Lakes),"Intensely aromatic with scents of ripe stone fruit and exotic mango, this delicately structured Riesling reverberates with acidity and fine, focused minerality. Semidry in style, it finishes long with lip-smacking fruitiness.",90,25.0,Riesling,Finger Lakes,Riesling-Finger Lakes
Fiddletown Cellars 2013 Private Stock Grand Cuvée Red (Amador County),"Drinking this tasty, grapy wine is like raiding a wild blackberry patch in July. It has fresh, bright berry aromas and flavors, medium body, good acidity and a clean finish. Made from one half Zinfandel and one half Petite Sirah, it seems to keep improving and gaining more depth with each sip.",90,36.0,Red Blend,Amador County,Red Blend-Amador County
Bellangelo 2006 Cabernet Sauvignon (Finger Lakes),"This rich Cabernet starts with aromas of vanilla, nutty oak and mocha, unfolding into flavors of ripe red berries, cedar, pepper and toast. Good depth of flavor and a poised fruit and acid balance give the wine class. Pair with rich meat dishes or ripe cheeses.",87,24.0,Cabernet Sauvignon,Finger Lakes,Cabernet Sauvignon-Finger Lakes
Peachy Canyon 2013 Bailey Zinfandel (Adelaida District),"A blend of red fruit and dark spice shows on the nose of this wine, with dried strawberry and red cherry running into licorice, purple flowers and black slate. The flavors are broad with cherry candy notes, boosted by a boisterous pepper spice, and settling into a decently tart finish.",89,38.0,Zinfandel,Adelaida District,Zinfandel-Adelaida District
Barnard Griffin 2012 Syrah (Columbia Valley (WA)),"Streaks of citrus, berry and cracker are integrated with light berry flavors. This is a smooth, balanced, easy-drinking Syrah, with light hints of tea leaves.",87,17.0,Syrah,Columbia Valley (WA),Syrah-Columbia Valley (WA)
Domino 2012 Pinot Grigio (California),"A delightful Pinot Grigio, perfect for drinking as an appetizer wine, or with anything from fried chicken to Vietnamese pho. It's crisp in acidity, which gives a balanced structure to the ripe lime, apple and peach fruit flavors.",86,8.0,Pinot Grigio,California,Pinot Grigio-California
Lieubeau 2015 La Fruitière Chardonnay (Val de Loire),"This is Chardonnay from the same region as Muscadet giving it a crisp salty character that has been filled out with some oak aging. The wine is ripe, spicy with a mineral character that comes from the granite soil. Drink now.",86,15.0,Chardonnay,Val de Loire,Chardonnay-Val de Loire
Stephen Ross 2016 Spanish Springs Vineyard Pinot Gris (San Luis Obispo County),"Broad aromas of Asian pear, kaffir lime and wet stone show on the nose of this bottling from a vineyard located just minutes from the sands of Pismo Beach. There is a great sizzle of acidity on the sip, with candied apple flavors, slightly sour lime and grapefruit peels. There's also the slightest touch of sweetness.",88,22.0,Pinot Gris,San Luis Obispo County,Pinot Gris-San Luis Obispo County
Château Gaudrelle NV Vigneau Brut Chenin Blanc-Chardonnay (Crémant de Loire),"The Chenin Blanc in the blend gives this wine its nutty fruity character. It is an attractive ripe wine, spicy with a soft texture that is held up by its final acidity. Drink now.",88,25.0,Chenin Blanc-Chardonnay,Crémant de Loire,Chenin Blanc-Chardonnay-Crémant de Loire
Arbor Brook 2006 Estate 777 Block Pinot Noir (Chehalem Mountains),"Arbor Brook's estate-grown Pinot Noir brings a very expressive mix of cranberry, raspberry, black cherry, moist earth, pencil lead and chalk to the palate. A little bit of green tea, a little bit of herb, a little bit even of stem is just fine when set against natural acids and tart, tangy fruit. Elegance is what Pinot Noir should be about, and that is what is delivered here.",89,35.0,Pinot Noir,Chehalem Mountains,Pinot Noir-Chehalem Mountains
Thistle 2013 The MacDougall Pinot Noir (Dundee Hills),"Assembled from the best barrels of the vintage, this low-alcohol wine is chewy and forward, with strawberry fruit, cola and a whiff of the chicken yard. It all comes together seamlessly and is immediately drinkable. Best enjoyed now through 2019.",89,40.0,Pinot Noir,Dundee Hills,Pinot Noir-Dundee Hills
Sebastiani 2012 Pinot Noir (Sonoma Coast),"Minty and bright, this is a well-distributed Pinot that's a fair value, soft and easy to drink. Amidst mellowed oak, expect dark cherry and buoyed acidity with a finish of darker, earthy tones.",87,19.0,Pinot Noir,Sonoma Coast,Pinot Noir-Sonoma Coast
Andrieux & Fils 2011 Cuvée Victoria Rosé (Côtes de Provence),"Soft and rounded, this has plenty of warm fruits, but misses the acidity, crispness and texture. There is a pepper note on the finish.",85,,Rosé,Côtes de Provence,Rosé-Côtes de Provence
Carter Estate 2011 Penrose Red (South Coast),"This is an intriguing and unique wine with individual elements that are hard to pin down, but worthy of attention. The Portuguese varietal-led blend shows deep black plum, pencil lead, black cherry and cola on the slightly grapy nose. Cola, root beer and black cherry arise on the thick and chewy palate, which finishes slightly sour.",88,30.0,Red Blend,South Coast,Red Blend-South Coast
Maryhill 2013 Pinot Gris (Columbia Valley (WA)),"Forward and lightly spicy, this is a good, all-purpose white wine, with bright flavors of apple and pear. It's not a big wine in any way, but perfectly quaffable and right for a wide variety of noodle dishes.",87,12.0,Pinot Gris,Columbia Valley (WA),Pinot Gris-Columbia Valley (WA)
