title,description,points,price,variety,region_1,variety_region
Château de Brigue 2015 Brigue Provence Rosé (Côtes de Provence),"Great value comes from this light-hearted wine with crisp fruitiness. A touch of tannin gives some shape, but the wine is above all attractive and bright with flavors of red fruits and citrus. It will make a fine summer apéritif.",85,10.0,Rosé,Côtes de Provence,Rosé-Côtes de Provence
Ruca Malen 2011 Reserva Malbec (Mendoza),"Compact, gritty, stalky aromas are hard and herbal. This feels narrow and short on body, while flavors of generic berry fruits are a bit green and low on richness and depth. Oaky vanilla notes drive the finish.",87,19.0,Malbec,Mendoza,Malbec-Mendoza
Foley 2012 Pinot Noir (Sta. Rita Hills),"Hedonistic notes of hot cherry pie prime the nose on this wine, which gains complexity thanks to sagebrush, eucalyptus and black slate aromas. The palate is driven by cranberries and boasts firm, incense-powered tannins, with chopped herbs and pine sap elements as well.",88,40.0,Pinot Noir,Sta. Rita Hills,Pinot Noir-Sta. Rita Hills
Jekel 2011 Pinot Noir (Santa Barbara County),"Thin and reedy, with cherry tea, cola and green herb, vegetal flavors. Drink up.",81,18.0,Pinot Noir,Santa Barbara County,Pinot Noir-Santa Barbara County
Villa Erbice 2010 Tremenel  (Amarone della Valpolicella),"This concentrated wine opens with aromas of blueberry, leather and a whiff of cocoa. The rich robust palate delivers cassis, blackberry, chocolate and white pepper alongside firm, chewy tannins. Drink through 2023.",91,65.0,Red Blend,Amarone della Valpolicella,Red Blend-Amarone della Valpolicella
Marco Zunino 2014 Rosé (Mendoza),"Rusty in color and metallic in aromas, this does not smell fresh despite being young. A full, chunky palate is home to mealy peach and cantaloupe flavors, while the finish falls flat and tastes bitter.",81,13.0,Rosé,Mendoza,Rosé-Mendoza
Apolloni 2008 Estate Pinot Blanc (Willamette Valley),"Modeled after an Italian Pinot Bianco, this tart, citrusy wine sports fresh-cut green apple fruit flavors. It's done in stainless steel, nicely balanced but definitely made to go with spicy Pacific Rim foods.",86,15.0,Pinot Blanc,Willamette Valley,Pinot Blanc-Willamette Valley
Core Winery 2005 Alta Mesa Vineyard Grenache (Santa Barbara County),"Hot, raspingly dry and pretty tannic to boot, this Grenache, from a high mountain vineyard, also is a little funky and barnyardy. There are some concentrated cherry, currant, Tabasco and pepper-spice flavors, but those strong tannins really get in the way.",83,38.0,Grenache,Santa Barbara County,Grenache-Santa Barbara County
Villa Gianna 2011 Nobilvite  (Circeo),Nobilvite (Merlot and Cabernet Sauvignon) offers slightly disjointed aromas of black fruit and prune backed by green olive and caper. There's a touch of sourness on the otherwise short finish.,84,10.0,Red Blend,Circeo,Red Blend-Circeo
Domaine Serene 1999 Cote Sud Vineyard Chardonnay (Willamette Valley),"This seems a bit overripe in the nose; definitely an ultraripe style, with flavors of peach, apricot and mango. Real tropical, still has decent acids, but the fruit went a bit too far, and there is a definite sweetness too, along with some breakfast toast oak.",87,35.0,Chardonnay,Willamette Valley,Chardonnay-Willamette Valley
Terredora 2010 Aglianico (Campania),"This bright Aglianico delivers a dark fruit aroma, with touches of rum cake and dusty mineral at the back. The brightness of the acidity will refresh your tastebuds.",87,13.0,Aglianico,Campania,Aglianico-Campania
Wolf Blass 2008 Gold Label Shiraz (Barossa),"An excellent value, the 2008 Gold Label Shiraz is a full-bodied, powerfully built wine, filled out by cassis, chocolate and tobacco flavors. It's long and velvety on the finish, not just an upfront powerhouse. Drink now–2020.",91,25.0,Shiraz,Barossa,Shiraz-Barossa
Benoît Girard 2014  Sancerre,"Part of the same family business as Philippe Girard's wines (Benoît is his brother), this is a ripe, pure and clean wine. Perfumed acidity and zesty flavors are integrated into the rich green fruit. Apples and green plums dominate this refreshing wine that will develop. Drink from 2017.",90,,Sauvignon Blanc,Sancerre,Sauvignon Blanc-Sancerre
Panther Creek 2006 Vista Hills Vineyard Pinot Noir (Dundee Hills),"Perhaps the most forward and appealing wine in the lineup, the Vista Hills Pinot Noir brings round flavors of chocolate-covered cherries, hints at pepper and herb, then finished up with lots more chocolate. Though not as detailed as some of the other Panther Creek single-vineyard offerings, it has pleasure written all over it.",89,42.0,Pinot Noir,Dundee Hills,Pinot Noir-Dundee Hills
Cigliuti 2013 Serraboella  (Barbaresco),"Intense scents of violet and iris lead the nose of this wine, along with a whiff of woodland berry. The fresh, linear palate offers Marasca cherry, crushed raspberry, star anise and chopped herb flavors framed by youthfully assertive, fine-grained tannins and bright acidity.",92,44.0,Nebbiolo,Barbaresco,Nebbiolo-Barbaresco
Georges Vigouroux 2011 Château Baron White (Gaillac),"A crisp and fruity blend of the herbaceous Sauvignon Blanc and the creamy Loin de l'Oeil, this has apple and grapefruit flavors. It has a bright feel, with a hint of mineral on the finish.",88,14.0,White Blend,Gaillac,White Blend-Gaillac
Hahn 2006 SLH Syrah (Santa Lucia Highlands),"Too sweet, soft and simple in cherry-cola flavors, this Syrah would benefit from more dryness and greater structure. It turns Porty on the finish. Drink now.",84,27.0,Syrah,Santa Lucia Highlands,Syrah-Santa Lucia Highlands
Henri Abele 2007 Le Sourire de Reims Brut  (Champagne),"Dominated by Chardonnay from the Côte des Blancs, this mature, mineral-textured wine is both ripe and beautifully structured. With white fruits and a floral character, it is moving into spicy territory. Roast almonds are balanced with a crisp character from the low dosage. The wine is now just ready to drink.",93,80.0,Champagne Blend,Champagne,Champagne Blend-Champagne
Bodega Atamisque 2013 Serbal Sauvignon Blanc (Tupungato),"The palate shows modest citric acidity which sets up a flavor profile of sulfur, grapefruit and tangerine. Pyrazines and bitterness run roughshod on the finish.",83,13.0,Sauvignon Blanc,Tupungato,Sauvignon Blanc-Tupungato
Three 2014 Old Vines Field Blend Red (Contra Costa County),"Smoky aromas, rich dark-fruit flavors and a plush mouthfeel add up to a powerful, concentrated wine. Made from Syrah, Mataró (Mourvèdre) and other Rhône grape varieties, it has a mouthcoating richness, nice depth to the blackberry flavors and a lingering finish.",89,18.0,Red Blend,Contra Costa County,Red Blend-Contra Costa County
Williams Selyem 2009 Forchini Vineyard South Knoll Zinfandel (Russian River Valley),"This is a terrific Zinfandel, offering berry, cherry, mocha, spice and cedar flavors that come wrapped in briary tannins. It's technically dry, but with a satisfying honeyed note.",92,50.0,Zinfandel,Russian River Valley,Zinfandel-Russian River Valley
Thurston Wolfe 2000 Burgess Vineyard Zinfandel (Columbia Valley (WA)),"There isn't much Zin in Washington, but this makes a good case for more. Thick and tannic, it's a meaty, dark wine that includes 25% Petite Sirah. Seventeen months in new American oak has left an indelible whisky-barrel scent. —P.G.",87,20.0,Zinfandel,Columbia Valley (WA),Zinfandel-Columbia Valley (WA)
La Folia Winery 2010 Barbera (Sierra Foothills),"Smooth, easy to enjoy and crisp in acidity, La Folia's Barbera tastes lighter than its 15.5% alcohol with a mocha kiss on the finish.",89,28.0,Barbera,Sierra Foothills,Barbera-Sierra Foothills
Luna Beberide 2014 Godello (Bierzo),"Shy honeyed aromas of tropical fruits wind up at banana. This feels fleshy and not direct, while soft powdery flavors of leesy melon and papaya finish with notes of oxidation, as if this is already starting to fade.",85,21.0,Godello,Bierzo,Godello-Bierzo
Sauvion 2015 Château du Cléray Sur Lie  (Muscadet Sèvre et Maine),"The vines around the showpiece castle of Cléray have produced a crisp, lemon-scented wine that has a tight mineral edge to point up the ripe apple and lime fruitiness. Drink now.",88,18.0,Melon,Muscadet Sèvre et Maine,Melon-Muscadet Sèvre et Maine
Twisted Sisters 2009 Matriarch Red (Paso Robles),"Made in an old-fashioned Paso Robles style, this is pretty sweet, soft and simple. There's not much complexity, but it has plenty of ripe blackberry, cherry and spice flavors.",84,20.0,Bordeaux-style Red Blend,Paso Robles,Bordeaux-style Red Blend-Paso Robles
Alberice 2007 Chardonnay (Colli Orientali del Friuli),"This is a basic, no-fuss Chardonnay with aromas of citrus and exotic fruit and a vibrant mouthfeel that is tangy and zesty throughout. There's a touch of spice on the close that helps keep the palate clean.",85,20.0,Chardonnay,Colli Orientali del Friuli,Chardonnay-Colli Orientali del Friuli
Mersenne 2015 Dalla Gasperina Vineyard Sauvignon Blanc (Rutherford),"Fermented and aged in stainless steel, this well-made white has lively acidity and a linear approach to flavor, focusing clearly on orange, apple and melon around a full-bodied palate. Pear and lime appear on the finish.",90,29.0,Sauvignon Blanc,Rutherford,Sauvignon Blanc-Rutherford
Cascina del Monastero 2011 Bricco Luciani  (Barolo),"Enticing aromas of woodland berry, crushed rose, mint and menthol lead the nose on thisfull-bodied red. Mint carries over to the palate along with wild cherry, red raspberry, kitchen spice and a hint of toast. Assertive tannins and bright acidity hold it all together.",91,85.0,Nebbiolo,Barolo,Nebbiolo-Barolo
Château de Lescours 2011  Saint-Émilion,"The wine shows the firm tannins of the vintage. They give a dry core that will probably remain. However, there is also a fine layer of fresh black-currant fruit that gives a fine lift to the wine at the end. It will be ready soon, drink from 2017.",89,40.0,Bordeaux-style Red Blend,Saint-Émilion,Bordeaux-style Red Blend-Saint-Émilion
Lucas & Lewellen 2007 Valley View Vineyard Petit Verdot (Santa Barbara County),"Even nearing the age of four, this wine can't quite overcome its rustic tannins and sharp finish, and never will. With rich blackberry and cassis flavors, it will wash down a nice steak.",85,32.0,Petit Verdot,Santa Barbara County,Petit Verdot-Santa Barbara County
Château Poujeaux 2012 Barrel Sample  (Moulis-en-Médoc),"91–93. Barrel sample. This is a complex wine that's dry at the heart and powered with dark tannins. Slowly the juicy fruit shows through on the mid palate, yielding a wine that offers the potential of solid fruits and excellent acidity.",92,,Bordeaux-style Red Blend,Moulis-en-Médoc,Bordeaux-style Red Blend-Moulis-en-Médoc
Sebastiani 2012 Cherryblock Cabernet Sauvignon (Sonoma Valley),"The winery's top-of-the-line Cab, this offers a depth of toasted oak and plum surrounding barbecued meat aromas. Soft and approachable, the fruit is ripe and seasoned by jolts of black pepper on the finish.",88,90.0,Cabernet Sauvignon,Sonoma Valley,Cabernet Sauvignon-Sonoma Valley
Roche de Bellene 2010 Le Charmois Premier Cru  (Saint-Aubin),"A ripe, apple-flavored wine, this has a round feel that is pierced by crisp, citrusy acidity. Made from grapes that were sourced from the hills above Puligny-Montrachet, this is a generous selection, with yellow fruit flavors that are balanced by the refreshing, crisp finish.",89,48.0,Chardonnay,Saint-Aubin,Chardonnay-Saint-Aubin
Lantieri de Paratico 2009 Millesimato Arcadia Sparkling (Franciacorta),"This opens with a fragrance of white flowers, hints of vanilla and oak. The palate delivers pineapple and lemon peel flavors and a note of cream pastry, along with well integrated oak. The wine has a soft texture and a small, persistent bead. Pair this with shellfish.",90,42.0,Sparkling Blend,Franciacorta,Sparkling Blend-Franciacorta
Klinker Brick 2015 Albariño (Lodi),"Bright and tangy, this light-bodied wine smells fresh and herbal, almost like celery, and tastes very vibrant. It will be especially tasty in hot weather.",87,15.0,Albariño,Lodi,Albariño-Lodi
Casarena 2012 Estate Bottled Malbec (Mendoza),"Hard candy and berry-extract aromas form the nose. This is slick in feel, with mulberry, raspberry, lollipop and olive flavors, a true mish-mash of tastes. A jammy sweetness drives the finish, which is short on structure.",84,17.0,Malbec,Mendoza,Malbec-Mendoza
Prospect 772 2012 The Brat Grenache-Syrah (Sierra Foothills),"For a superripe and full-bodied wine this also has good, firm tannins to beef up the texture and balance all the sweet ripe berry and cherry flavors. There are touches of clove and anise in the aroma, and a cocoa-like flavor on the finish.",90,36.0,Grenache-Syrah,Sierra Foothills,Grenache-Syrah-Sierra Foothills
Terredora 2015 Corte di Giso Falanghina (Irpinia),"This opens with aromas suggesting pressed yellow flower, orchard fruit and an unusual whiff that recalls brimstone. The brisk palate offers yellow apple, citrus and a bitter medicinal note.",86,23.0,Falanghina,Irpinia,Falanghina-Irpinia
Finca Sophenia 2014 Altosur Malbec (Tupungato),"Jammy muscled-up aromas of blackberry show hints of spice, especially red chili flake. This feels full, round and comfortable, with moderate tannic clamp. Herbal black-fruit flavors finish bold, with a touch of dry bitter oak.",87,12.0,Malbec,Tupungato,Malbec-Tupungato
Turnbull 2012 Estate Grown Cabernet Sauvignon (Oakville),"This wine is soft and velvety, awash in classic notes of black currant and berry, textured in full-bodied, oaky waves of toast and cigar box. Approachable on the palate, it winds its way powerfully though softly from start to lengthy finish.",91,70.0,Cabernet Sauvignon,Oakville,Cabernet Sauvignon-Oakville
"Concannon 2009 Selected Vineyards, Central Coast Pinot Noir (Livermore Valley)","An inexpensive, large-production Pinot that's overly earthy and a little thin on the finish with a smidgen of residual sugar thrown in too, but reasonably priced and decently quaffable with food.",84,10.0,Pinot Noir,Livermore Valley,Pinot Noir-Livermore Valley
Château Maucaillou 2009 Barrel sample  (Moulis-en-Médoc),"91-93 Barrel sample. Smoothly polished wine, lovely blackberry jelly flavors and sweet fruit. Ripe, juicy with wood and a potentially good structure.",92,,Bordeaux-style Red Blend,Moulis-en-Médoc,Bordeaux-style Red Blend-Moulis-en-Médoc
Jorian Hill 2007 Beespoke Red (Santa Ynez Valley),"There's so much raspberry, cherry, cola, clove, cinnamon and pepper flavor in this wine, it's hard to know where to begin. It's also dry, with smoky, vanilla oak notes. Yet it lacks the vital structure a good Rhône blend wants in order to house all this richness. Drink now. Grenache-Syrah.",87,38.0,Rhône-style Red Blend,Santa Ynez Valley,Rhône-style Red Blend-Santa Ynez Valley
Domìni Veneti 2007 Vigneti di Jago  (Amarone della Valpolicella Classico),"Aromas of tobacco, coffee, mocha and plum cake lead the nose on this brawny wine. The dense, one-dimensional palate delivers chocolate-covered cherry, vanilla and bitter prune alongside polished tannins. Drink through 2017.",89,70.0,Red Blend,Amarone della Valpolicella Classico,Red Blend-Amarone della Valpolicella Classico
Château Malbec 2009  Bordeaux,"Initially, the acidity cuts through this structured effort. Then the ripe fruits surface, creating a wine that is both rich and firmly textured. It is full in the mouth, rich and age worthy.",87,15.0,Bordeaux-style Red Blend,Bordeaux,Bordeaux-style Red Blend-Bordeaux
San Juan Vineyards 2008 Cabernet Franc (Horse Heaven Hills),"Much the same blend as the winery's ‘Red' wine, only here the Sangiovese is replaced with Cabernet Sauvignon. Light flavors of black cherry and herb characterize a rather flat-lining wine with lots of acid.",83,23.0,Cabernet Franc,Horse Heaven Hills,Cabernet Franc-Horse Heaven Hills
Betz Family 2007 Clos de Betz Red Wine Red (Columbia Valley (WA)),"Bob Betz continues to refine his Bordeaux blends. This new Clos de Betz is much more forward than the monumental Père de Famille and sports ripe, dark, round, appealing fruit flavors of luscious raspberry and cassis, swathed in beaucoup de barrel. Toasty oak dissolves into polished tannins, finishing with black tea, licorice, smoke and charcoal.",93,45.0,Red Blend,Columbia Valley (WA),Red Blend-Columbia Valley (WA)
Château de Piote 2012 Perles  (Crémant de Bordeaux),"Tight and sharp, this is an herbaceous wine with a strongly citrus character. The aftertaste has some spice.",82,28.0,Sparkling Blend,Crémant de Bordeaux,Sparkling Blend-Crémant de Bordeaux
Château de Candale 2009  Saint-Émilion,"Warm, voluptuous, rich and generous, this wine has the right weight, along with firm, dark tannins and a bitter coffee flavor. The finish is warm and delicious.",92,,Bordeaux-style Red Blend,Saint-Émilion,Bordeaux-style Red Blend-Saint-Émilion
Woodward Canyon 2015 Chardonnay (Washington),"A blend of fruit from Woodward Canyon and Celilo vineyards, subtle aromas of pear, apple and toast lead to elegant well-balanced fruit flavors, brightened by tart acidity. The balance is exquisite. Apple flavors persist on the finish.",91,44.0,Chardonnay,Washington,Chardonnay-Washington
Glenwood Cellars 2014 Pinot Noir (Carneros),"This is a thin, light-bodied wine, showy in deep, dark berry and cherry. Around its fruity edges, robust oak and tree bark are softened in black tea.",86,21.0,Pinot Noir,Carneros,Pinot Noir-Carneros
Wild Hare 2012 Legendary Pinot Noir (California),"Hard to like this Pinot. It has flavors of beets, cola and asparagus, but it's drinkable.",81,10.0,Pinot Noir,California,Pinot Noir-California
Bodegas Olarra 2004 Añares Reserva  (Rioja),"Dry and peppery to start, with muted berry fruit aromas along with wood shavings. The palate is snappy, clean and juicy, with raspberry, vanilla and tobacco-like flavors. More basic than special, with a steady, light-framed finish. More than functional; likely good with food.",87,18.0,Tempranillo Blend,Rioja,Tempranillo Blend-Rioja
Ruca Malen 2004 Kinien Malbec (Mendoza),"Fruity and earthy, with sly, narrow flavors of blackberry and chocolate. This has the ripeness and power that one would expect from a high-end Malbec, but also a bit more finesse and natural “redness” than many heavyweights from Argentina. Hints of herbs, pine, lemon peel and mocha grace the structured finish.",90,30.0,Malbec,Mendoza,Malbec-Mendoza
Ortman Family 2005 Syrah (Paso Robles),"Black pepper dominates the aroma of this wine, along with black currants, grilled meat and something sweetly spicy and exotic, like a teriyaki dressing. In the mouth, it turns softly sweet and candied. Drink now.",85,22.0,Syrah,Paso Robles,Syrah-Paso Robles
Wayfarer 2013 Paige's Ridge Estate Grown Pinot Noir (Fort Ross-Seaview),"From a section of the vineyard planted to only one clone, Paige's is luscious and velvety, smoothly decadent in sanguine, tangy fruit. Full bodied and in balance, it suggests a wild note of mint or bay leaf, something savory as one would find in a cassoulet or beef stew, two things with which it would pair well.",94,115.0,Pinot Noir,Fort Ross-Seaview,Pinot Noir-Fort Ross-Seaview
La Chablisienne 2014 Fourchaume Premier Cru  (Chablis),"This Premier Cru vineyard lies north of the Grand Crus, with a west-facing exposure. It has yielded a wine with soft, generous floral character, ripe yellow fruit and a crisp, mineral edge. Finely sculpted and ageworthy, it will be best from 2019.",93,40.0,Chardonnay,Chablis,Chardonnay-Chablis
Yering Station 2006 Pinot Noir (Yarra Valley),"It's slightly lean and hard on the finish, but this entry-level Yarra Valley Pinot does show some pleasant notes of cedar, cola and cherries on the nose and in the mouth. Perhaps a year or two of aging will help soften its edges.",83,18.0,Pinot Noir,Yarra Valley,Pinot Noir-Yarra Valley
Cliff Creek 2012 MRV White (Southern Oregon),"Half Viognier with the rest equal parts Marsanne and Roussanne, this is aromatic with notes of pear, apples and apricot with surprisingly tart fruit flavors. The warmth of the vintage shows with the alcohol bleeding through, especially on the finish.",84,22.0,White Blend,Southern Oregon,White Blend-Southern Oregon
Fontanafredda 2014 Marne Brune  (Nebbiolo d'Alba),"This medium-bodied Nebbiolo weaves together aromas of crushed raspberry, black cherry and forest floor that carry over to the firm palate along with notes of toast and tobacco. Chewy tannins provide the framework.",89,30.0,Nebbiolo,Nebbiolo d'Alba,Nebbiolo-Nebbiolo d'Alba
Martorana 2013 Merlot (Dry Creek Valley),"A dark and brooding exploration of black fruit with soft edges, this wine shows generous smoky oak and cinnamon notes, along with an unexpected streak of egg cream.",86,34.0,Merlot,Dry Creek Valley,Merlot-Dry Creek Valley
Wy'East Vineyards 2012 Reserve Pinot Noir (Columbia Gorge (OR)),"The aromas of strawberry, orange peel and plum seem a bit muddled, while the palate brings greater clarity and delineation to the medium bodied, creamy-feeling fruit flavors.",88,40.0,Pinot Noir,Columbia Gorge (OR),Pinot Noir-Columbia Gorge (OR)
Château La Rose du Pin 2015  Bordeaux Supérieur,"The wine is lean, with acidity rather than ripe fruit. It is also tough with tannins. It could come round, although it will always be tough and extracted.",85,15.0,Bordeaux-style Red Blend,Bordeaux Supérieur,Bordeaux-style Red Blend-Bordeaux Supérieur
Prior Art 2009 Crianza Red (Priorat),"This is an edgy wine with a mix of berry and cassis aromas along with harsh leather. It's mouthfilling and potent on the palate, where flavors of spiced berry and herbal-infused plum finish scratchy and with all the muscle one could ask for. Cariñena, Garnacha and Syrah is the blend.",87,18.0,Red Blend,Priorat,Red Blend-Priorat
Boundary Breaks 2011 No. 198 Reserve Riesling (Finger Lakes),"Another winner amidst Boundary Break's exciting new lineup of wines, the No. 198 Reserve is exuberantly spicy and floral, with a beautifully concentrated palate full of ripe peach and tangerine flavors. Brisk and bright with citrus acidity, it finishes elegantly, with hints of jasmine tea and honey.",90,25.0,Riesling,Finger Lakes,Riesling-Finger Lakes
Cuvaison 2005 Block F5 Pinot Noir (Carneros),"This is easily Cuvaison's best Pinot Noir ever. It's not only delicious right out of the bottle, it's an ager. Really flatters the palate with appealing cherry, black raspberry, cola and tangerine fruit, wrapped in a silky texture. Yet it shows a dense, tightly tannic quality that suggest up to 8 years in the cellar.",92,45.0,Pinot Noir,Carneros,Pinot Noir-Carneros
Lanson 1994 Gold Label Brut  (Champagne),"Fresh and light, this Champagne shows lots of lemon and lime nuances, with slight green-apple and herb notes. It may deepen and improve with age; right now it’s probably best as an aperitif.",87,45.0,Champagne Blend,Champagne,Champagne Blend-Champagne
Livio Sassetti 2011 Pertimali  (Brunello di Montalcino),"Floral and refined, this opens with alluring scents of violet, iris, perfumed berry, earth and a whiff of pressed powder. The savory, elegant palate offers up juicy wild cherry, raspberry, truffle, anise and white pepper framed in a network of silky tannins. It's already extremely accessible and will offer fine drinking pleasure for the near and mid-term.",94,55.0,Sangiovese,Brunello di Montalcino,Sangiovese-Brunello di Montalcino
Le Brun de Neuville NV Blanc de Blancs Extra Brut Chardonnay (Champagne),"This producer's signature grape is Chardonnay and this Champagne with its tight, nervy and mineral character is a fitting emblem. It is crisp, with green-apple fruit and lively acidity. Underneath there is a structure that will allow the bottling to age further. Drink from 2018.",92,60.0,Chardonnay,Champagne,Chardonnay-Champagne
Talbott 2010 Kali Hart Chardonnay (Monterey),"This is Talbott's minor bottling of Chardonnay, but it shows the house style. The 2010 vintage was fine, resulting in strong, forward apricot, tangerine, honey and oak flavors, made bold by Central Coast acidity.",87,19.0,Chardonnay,Monterey,Chardonnay-Monterey
Ruca Malen 2009 Reserva Chardonnay (Mendoza),"A more than solid wine cut from the tropical, South American blueprint. It's open and full of banana, pear and apple aromas, and while it runs hot and fast on the palate, it's got lots of woody, ripe flavors of apple and pithy citrus. Round, lively and packed with flavor even if it shows almost nothing in common with cool-climate Chardonnay.",88,18.0,Chardonnay,Mendoza,Chardonnay-Mendoza
Niner 2014 JR Reserve Grenache (Edna Valley),"This bottling from the cool-climate Jespersen Ranch offers baked black cherry, graphite, gingerbread and vanilla on the nose. There's a kick of white pepper on the palate, possibly owing to the 10% Syrah that's blended in, along with dark boysenberry fruit. The texture is grippy and serious for the grape.",91,50.0,Grenache,Edna Valley,Grenache-Edna Valley
Hug 2006 Casa Torres Vineyard Pinot Noir (Santa Maria Valley),"Nicely dry and silky in texture, with a good balance of cherry, cola, anise, tobacco and pepper flavors gently touched with oak. Made in an approachable style for early drinking.",87,40.0,Pinot Noir,Santa Maria Valley,Pinot Noir-Santa Maria Valley
Dominio Dostares 2011 Estay Prieto Picudo (Vino de la Tierra de Castilla y León),"Ripe and cedary on the nose, this Prieto Picudo offers up a strong whiff of spice cake in front of a grippy and astringent palate. Heavily spiced berry flavors are much like Christmas cake, while the finish tastes earthy and roasted.",87,17.0,Prieto Picudo,Vino de la Tierra de Castilla y León,Prieto Picudo-Vino de la Tierra de Castilla y León
Willm 2009 Réserve Riesling (Alsace),"Crisp and steely, touched by white perfumes and intense acidity, this is a wine with a sharp blade of flavors that cut through the texture. Apples, citrus and kumquat all blend attractively together.",88,13.0,Riesling,Alsace,Riesling-Alsace
