Unnamed: 0,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery
8200,US,"A very good wine that easily earns its score, but is not perfect. It's a bit on the fruity-sweet, one-dimensional side, with jammy pineapple and apricot flavors, enriched with sweet, smoky, vanilla-accented oak. Yet fine, firm coastal acidity provides needed balance.",,91,48.0,California,Sonoma Coast,Sonoma,,,Heintz 2007 Chardonnay (Sonoma Coast),Chardonnay,Heintz
10787,Portugal,"A blend of Arinto and Antão Vaz, this is an impressively structured and concentrated wine. Ripe and flowery, with flavors of mango and yellow fruit. The smooth yet tangy structure gives pleasure now, but also promises aging. Drink until 2019.",Dom Rafael Branco,90,15.0,Alentejo,,,Roger Voss,@vossroger,Mouchão 2012 Dom Rafael Branco White (Alentejo),Portuguese White,Mouchão
129612,Argentina,"Foxy and jumpy on the nose, with candied red-berry and cherry aromas. Feels resiny, but there's enough acid to keep it moving forward. Flavors of plum and berry come with a lot of oak and barrel influence. Finishes resiny, with hints of vanilla and a burnt quality.",Uco Valley Reserve,84,17.0,Mendoza Province,Mendoza,,Michael Schachner,@wineschach,TintoNegro 2010 Uco Valley Reserve Malbec (Mendoza),Malbec,TintoNegro
77491,Italy,"Aromas span from black fruit, to spice to smoked ham and the wine is soft and velvety on the finish. This thick and luscious Syrah offers a ripe and sunny wine experience that would pair with succulent steak or pork roast.",Sole di Sesta,90,,Sicily & Sardinia,Sicilia,,,,Cottanera 2006 Sole di Sesta Syrah (Sicilia),Syrah,Cottanera
53337,US,"Rich and ripe, this features blackberry and currant flavors whose acidity provides a citrusy, jammy tartness. This is the winery's least expensive bottling, and an enticing introduction to its future releases of '09 vineyard-designated Cabs.",,87,38.0,California,Napa Valley,Napa,,,Sequoia Grove 2009 Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Sequoia Grove
18548,Austria,"Citrus freshness and frothy fizz make for an easygoing, feather-light and uncomplicated sparkler, perfect for informal gatherings. The finish is dry, clean and refreshing.",Brut Blanc,87,33.0,Österreichischer Sekt,,,Anne Krebiehl MW,@AnneInVino,Erich & Walter Polz 2010 Brut Blanc Sparkling (Österreichischer Sekt),Sparkling Blend,Erich & Walter Polz
17022,Italy,"A blend of Nebbiolo, Vespolina and Croatina, this boasts delicate floral and fruit aromas of white rose and wild berry. Juicy red cherry and fleshy strawberry drive the vibrant palate while hints of baking spice provide the backdrop.",Al Posto dei Fiori Rosato,90,23.0,Piedmont,Coste della Sesia,,Kerin O’Keefe,@kerinokeefe,Le Pianelle 2013 Al Posto dei Fiori Rosato Red (Coste della Sesia),Red Blend,Le Pianelle
110342,Portugal,"This is a fully structured, Alicante Bouschet-dominated wine from the Redondo region in the heart of Alentejo. Its juicy black fruit is firmly anchored by tannins and acidity. Concentrated and still likely to age, it will be best from 2018.",Herdade da Pimenta,90,18.0,Alentejano,,,Roger Voss,@vossroger,Casa Agricola Alexandre Relvas 2014 Herdade da Pimenta Red (Alentejano),Portuguese Red,Casa Agricola Alexandre Relvas
33583,Italy,"Here's a lovely Morellino di Scansano set apart by a drying, dusty tone that recalls brimstone or crushed granite stone. There's fruit here—mostly cherry and blackberry—but it plays a supporting role.",Ventaio,88,,Tuscany,Morellino di Scansano,,,,Terre di Fiori 2008 Ventaio  (Morellino di Scansano),Sangiovese,Terre di Fiori
48807,US,"This Zin wants two or three years to round off the jagged edges. There's a lot going on, from the supple blackberry, leather and pepper flavors, wildly exotic spices and smooth tannins to an undefinable earthy-mineral taste that must come from the soil. There's some burn from alcohol, as Zins from the Maple Vineyards tend to exhibit.",Maple Vineyards,91,40.0,California,Dry Creek Valley,Sonoma,,,Bella 2010 Maple Vineyards Zinfandel (Dry Creek Valley),Zinfandel,Bella
26816,France,"Different parcels of old vines in the south of the appellation produce a smooth and well-balanced wine. With touches of toast as well as crisp lemon and ripe melon fruits, it is rich and intense with lively, juicy acidity. A generous wine, it is ready to drink.",Les Terres du Sud Viellies Vignes,90,28.0,Burgundy,Saint-Véran,,Roger Voss,@vossroger,Rijckaert 2014 Les Terres du Sud Viellies Vignes  (Saint-Véran),Chardonnay,Rijckaert
27809,US,"This red comes from one of the appellation's most important vineyards. Immense amounts of black peppercorn and raw beef show on the nose of this awesome bottling, which also offers soy-crusted meats that are gamy but not harsh. Rosemary oil, pine needle and peppercorns decorate the palate. It has a meaty lamb-roast richness at its core.",Hilltops,94,48.0,California,Ballard Canyon,Central Coast,Matt Kettmann,@mattkettmann,Stolpman 2015 Hilltops Syrah (Ballard Canyon),Syrah,Stolpman
59210,US,"Buttered toast, caramel, vanilla bean, spice and pineapple and orange jam aromas and flavors mark this wine. It's a little sweet and white sugary on the finish.",,85,16.0,California,Sonoma Coast,Sonoma,,,Valley of the Moon 2010 Chardonnay (Sonoma Coast),Chardonnay,Valley of the Moon
128947,US,"With 15% alcohol by volume, this is the headiest of Foxen's new 2011 reds. A blend of Grenache and Mourvèdre, it's fruity almost to the point of sweetness in raspberries and cherries, but turns dry and crisp on the finish. A delightful red wine to drink now with almost anything, and you can even put a little chill on it.",Cuvée Jeanne Marie,89,44.0,California,Santa Ynez Valley,Central Coast,,,Foxen 2011 Cuvée Jeanne Marie Grenache-Mourvèdre (Santa Ynez Valley),Grenache-Mourvèdre,Foxen
104354,US,"This small-production blend of 85% Cabernet Sauvignon and 15% Merlot from winemaker Tom Rinaldi is rounded and juicy, with moderate acidity. It shows generous clove, cinnamon and black cherry flavors, the structure supportive and graceful.",Pellet Vineyard Henry's Reserve,92,125.0,California,Napa Valley,Napa,Virginie Boone,@vboone,Pellet Estate 2014 Pellet Vineyard Henry's Reserve Red (Napa Valley),Bordeaux-style Red Blend,Pellet Estate
82423,US,"This is a dry, firmly crisp Chardonnay, with pineapple, apricot, mineral and vanilla flavors. It's somewhat simple and direct, but very clean and zesty. Nice for drinking now.",,86,30.0,California,Carneros,Napa-Sonoma,,,Leto 2008 Chardonnay (Carneros),Chardonnay,Leto
50150,Italy,"Crushed berry, leather, scorched earth, carob and underbrush are just some of the aromas offered by this powerfully structured Brunello. The ripe, warm palate delivers layers of juicy black cherry, black raspberry, tobacco, clove and grilled herb alongside firm, chewy tannins. Drink 2017–2027.",Poggio al Vento Riserva,94,150.0,Tuscany,Brunello di Montalcino,,Kerin O’Keefe,@kerinokeefe,Col d'Orcia 2007 Poggio al Vento Riserva  (Brunello di Montalcino),Sangiovese,Col d'Orcia
77324,US,"All varietal coming from Heart of the Hill Vineyard, this brooding wine offers aromas of dark coffee, cherry, bittersweet chocolate, clove and assorted barrel spices (80% new French). It's classically styled with reserved, almost elegant fruit flavors, bright acid and firm tannins that need time in the cellar to soften. Best after 2020.",,91,65.0,Washington,Red Mountain,Columbia Valley,Sean P. Sullivan,@wawinereport,Native Sun 2010 Cabernet Sauvignon (Red Mountain),Cabernet Sauvignon,Native Sun
105843,Italy,"There's an easy, informal quality to this white wine that makes it appropriate to pair with roast chicken or baked fish. The Pecorino grape can often be heavy and buttery, but this expression is surprisingly fresh and zesty instead.",Casale Vecchio,87,18.0,Central Italy,Terre di Chieti,,,,Farnese 2010 Casale Vecchio Pecorino (Terre di Chieti),Pecorino,Farnese
54721,France,"The premier cru is right in the heart of the appellation, close to the village. This wine, with its intense fruits and strongly textured character, is still trying out its structure and density. The potential is there with apricot and apple fruits waiting to come thorough the tight structure. Drink this fine wine from 2018.",Maltroie Premier Cru,93,75.0,Burgundy,Chassagne-Montrachet,,Roger Voss,@vossroger,Alex Gambal 2013 Maltroie Premier Cru  (Chassagne-Montrachet),Chardonnay,Alex Gambal
96317,US,"Not overly full-bodied, not overly ripe, not overly wild, but just right for dinner time. It's well balanced, velvet textured and multilayered. Brambly, bright raspberry and blackberry flavors fill the mouth, supported by smooth tannins and good acidity that keep it lively and appetizing through the long finish.",Wild Thing Old Vine,92,19.0,California,Mendocino,,Jim Gordon,@gordone_cellars,Carol Shelton 2012 Wild Thing Old Vine Zinfandel (Mendocino),Zinfandel,Carol Shelton
103839,Spain,"A more intense version of Carraovejas's Reserva from 2012, this also includes more than 20% Cabernet Sauvignon and Merlot. Thus it's spicy and prickly on the nose, with road tar and peppery notes in addition to potent berry fruit. A rich saturated rumbling palate deals coffee, toast, blackberry and herbal flavors that are much like the Reserva but more amplified. A charred finish has a lemony ring to it. Drink from 2020 through 2030.",El Anejón,93,136.0,Northern Spain,Ribera del Duero,,Michael Schachner,@wineschach,Pago de Carraovejas 2012 El Anejón  (Ribera del Duero),Red Blend,Pago de Carraovejas
108167,US,"This 100% varietal wine offers lightly volatile notes of vanilla, coconut, pepper and dried cherries. The fruit flavors show good concentration along with a beguiling feel and a finish that lingers. Although the wood takes center stage, it plays its part well.",Coyote Canyon Vineyard,88,32.0,Washington,Horse Heaven Hills,Columbia Valley,Sean P. Sullivan,@wawinereport,Northwest Cellars 2010 Coyote Canyon Vineyard Syrah (Horse Heaven Hills),Syrah,Northwest Cellars
61034,Australia,"Penfolds' entry-level Chardonnay is a medium-bodied, easy-drinking wine with modest fig and anise notes. Drink up.",Koonunga Hill,84,11.0,South Australia,South Australia,,Joe Czerwinski,@JoeCz,Penfolds 2009 Koonunga Hill Chardonnay (South Australia),Chardonnay,Penfolds
44187,France,"This is a smooth, rounded rosé made mainly from Négrette. Along with its youthful crispness, it also has a more creamy side and a crushed strawberry flavor, all lightened by balancing acidity.",,85,,Southwest France,Fronton,,Roger Voss,@vossroger,Château Plaisance 2011 Rosé (Fronton),Rosé,Château Plaisance
114295,US,This is a dry wine that's a bit acidic and watery with thin sour-cherry candy flavors and a hit of oak.,Signature Selection,83,20.0,California,Russian River Valley,Sonoma,,,Pedroncelli 2012 Signature Selection Pinot Noir (Russian River Valley),Pinot Noir,Pedroncelli
48714,US,"One of the top Pinot rosés of the vintage, this is beautiful to look at, to sniff and to sip. The color of pale pink cherry blossoms, it matches rather delicate complexity to surprising concentration, pushing ripe cherry fruit front and center. It's finished dry, and should not be over-chilled, or you'll miss the lovely aromatics.",Rosé of,91,30.0,Oregon,Chehalem Mountains,Willamette Valley,Paul Gregutt,@paulgwine ,Blakeslee 2014 Rosé of Pinot Noir (Chehalem Mountains),Pinot Noir,Blakeslee
50388,France,"This soft and round wine has a caramelized pear flavor, giving it a warm, rich feel. Its crisp acidity balances the ripe fruit, providing a light, fruity finish.",Bollenberg,86,,Alsace,Alsace,,Roger Voss,@vossroger,Domaine François Schmitt 2011 Bollenberg Sylvaner (Alsace),Sylvaner,Domaine François Schmitt
127034,France,"A very floral wine, it shows a spicy side that brings out a character that is not completely dry. It's soft and rounded while still keeping some acidity. Drink now.",Baron de Hoen,84,,Alsace,Alsace,,Roger Voss,@vossroger,Cave de Beblenheim 2012 Baron de Hoen Riesling (Alsace),Riesling,Cave de Beblenheim
42068,France,"This finely balanced, juicy wine is full of red-fruit aromas and brisk acidity. Juicy and bright with strawberry flavors and refreshing acidity, it's a value wine with great potential. Drink from 2015.",Vieilles Vignes,88,33.0,Burgundy,Fixin,,Roger Voss,@vossroger,Derey Frères 2011 Vieilles Vignes  (Fixin),Pinot Noir,Derey Frères
89499,Chile,"This opens with tomatoey, slightly raw aromas of cured meats and green herbs. The palate is plump, lush and a touch amorphous, while flavors of baked, barbecued black fruits run heavy with savory oak and spice. A minty, hot finish sticks out.",Reserva,86,19.0,Cachapoal Valley,,,Michael Schachner,@wineschach,Rios de Chile 2012 Reserva Carmenère (Cachapoal Valley),Carmenère,Rios de Chile
5372,Italy,"Aromas of ripe berry, grilled herb, leather and game lead the nose. The palate offers spiced plum, dried black cherry, mint, espresso, toast and vanilla alongside round tannins. Drink through 2019.",Bellezza Gran Selezione,89,38.0,Tuscany,Chianti Classico,,Kerin O’Keefe,@kerinokeefe,Castello di Gabbiano 2011 Bellezza Gran Selezione  (Chianti Classico),Sangiovese,Castello di Gabbiano
15128,US,"This is a remarkable effort at the price, the wine sourced from Beckstoffer-owned sites in Carneros. Apple, peach and lemon highlight an integrated, vibrantly fresh experience on the palate, which lingers and impresses long after the finish.",Y3,93,20.0,California,Napa Valley,Napa,Virginie Boone,@vboone,Jax 2015 Y3 Chardonnay (Napa Valley),Chardonnay,Jax
17217,France,"This is a light wine, attractively fruity with peach and apricot flavors. Intense acidity gives a fine kick to the texture, while also showing a dry, citrus-dominated side. Ready to drink.",,86,14.0,Alsace,Alsace,,Roger Voss,@vossroger,Domaine Charles Baur 2010 Pinot Blanc (Alsace),Pinot Blanc,Domaine Charles Baur
69345,France,"Crisp, dry, light wine, its freshness coming from redcurrant fruits. A gentle caramel overlay gives extra weight.",Rosé,86,15.0,Loire Valley,Chinon,,Roger Voss,@vossroger,Domaine du Grand Bouqueteau 2008 Rosé Cabernet Franc (Chinon),Cabernet Franc,Domaine du Grand Bouqueteau
45728,Portugal,"As this a tropical fruit expression of the grape, Sauvignon Blanc, though aged in oak, works well here. The other reason is that the wood is subtle—just a hint— leaving plenty of room for the fine pineapple fruit and final acidity. Drink from 2017.",Barrel Selection Branco,90,20.0,Tejo,,,Roger Voss,@vossroger,Quinta da Lagoalva de Cima 2015 Barrel Selection Branco Sauvignon Blanc (Tejo),Sauvignon Blanc,Quinta da Lagoalva de Cima
71354,France,"The Mourvèdre in this ripe wine lends a wonderful spice and herbal character. While the wine is full and rich, it also has a fine refreshing line of raspberry fruit. The wine is ready to drink.",Tradition,88,26.0,Provence,Bandol,,Roger Voss,@vossroger,Château d'Azur 2015 Tradition Rosé (Bandol),Rosé,Château d'Azur
118941,Italy,"This intriguing blend of Falanghina, Biancolella and Pepella (three relatively unknown indigenous grapes) has a candy- or soda-like quality that recalls butterscotch and caramel. However, those notes are balanced by an elegant mineral tone and the wine has good dimension on the close.",Tramonti,85,21.0,Southern Italy,Campania,,,,Tenuta San Francesco 2007 Tramonti White (Campania),White Blend,Tenuta San Francesco
52777,France,"Very intense wine, packed with dark tannins, solid and powerful. It is leavened with great perfumes, while the overall effect is dark, brooding and concentrated.",,93,110.0,Bordeaux,Saint-Émilion,,Roger Voss,@vossroger,Vieux Château Mazerat 2008  Saint-Émilion,Bordeaux-style Red Blend,Vieux Château Mazerat
19682,France,"Syrah-like aromas make this an attractive, soft wine. Its red berry fruit and balanced acidity are well in place for warm-weather drinking.",La Châsse Syrah,85,10.0,France Other,Vin de France,,Roger Voss,@vossroger,Gabriel Meffre 2016 La Châsse Syrah Rosé (Vin de France),Rosé,Gabriel Meffre
11867,US,"So young, it tastes like it's still fermenting. Not a bad wine, but freshly tart and strong in grapy flavors. Should calm down by mid-2011 and become a nice, full-bodied and dry red wine.",Grower's Selection,84,15.0,California,Clarksburg,Central Valley,,,The Crusher 2009 Grower's Selection Petite Sirah (Clarksburg),Petite Sirah,The Crusher
87290,US,"This is a lush and fragrant wine, instantly appealing with aromas of orange blossom and sweet pear. Quite dry and concentrated, it brings further flavors of citrus, grapefruit and lemon rind as it plays out in a lingering, refreshing finish.",,92,21.0,Oregon,Willamette Valley,,Paul Gregutt,@paulgwine ,WillaKenzie Estate 2013 Pinot Gris,Pinot Gris,WillaKenzie Estate
8030,US,"This fruit-driven Pinot Gris blends green apple, melon and pear, with a hint of celery suggesting some less-than-ripe fruit in the mix also. The finish turns a little bitter.",,86,13.0,Oregon,Willamette Valley,Willamette Valley,Paul Gregutt,@paulgwine ,Kings Ridge 2012 Pinot Gris (Willamette Valley),Pinot Gris,Kings Ridge
50084,Italy,"Pressed violet, baked plum, baking spice and coconut emerge on the nose and carry over to the full-bodied palate along with ripe black cherry and licorice. Tightly packed but refined tannins provide firm support.",,90,45.0,Veneto,Amarone della Valpolicella Classico,,Kerin O’Keefe,@kerinokeefe,David Sterza 2011  Amarone della Valpolicella Classico,Red Blend,David Sterza
35833,US,"This wine is as lush as apricots, pineapples and peach juice, but with refreshing acidity. Ample honey and buttered-toast notes from oak give it warmth. It's a very good Chard for drinking now with rich shellfish dishes, or a buttery wild mushroom risotto.",Sarmento Vineyard,88,28.0,California,Santa Lucia Highlands,Central Coast,,,Windstream 2011 Sarmento Vineyard Chardonnay (Santa Lucia Highlands),Chardonnay,Windstream
68008,US,"This wine become pretty pricey but that's because consumers recognize its quality; its sheer deliciousness can't be beat. It has all the elements of fine Russian River Pinot—it's dry and has lots o f ripe fruit, pretty oak, toast and spice—and it puts them all together in a super-elegant package. The vintage is light but the wine doesn't seem to mind. Its class shows. `",Thomas Road Vineyard,90,50.0,California,Sonoma County,Sonoma,,,Iron Horse 1998 Thomas Road Vineyard Pinot Noir (Sonoma County),Pinot Noir,Iron Horse
52532,US,"Fistfuls of oak, heat and chocolate-covered blackberry form the basis for this hugely ripe, leathery wine that features a sideshow of tannin. Brick and licorice notes fill out the rest of the generously robust package.",Oakey Grande Estate,87,34.0,California,Dry Creek Valley,Sonoma,Virginie Boone,@vboone,Pezzi King 2013 Oakey Grande Estate Zinfandel (Dry Creek Valley),Zinfandel,Pezzi King
55996,Spain,"Smoky, charred aromas of leathery berry fruits and coffee are staunch and potent. Matching the nose, this feels plump and full in body and soul. Earthy cherry and berry flavors come with a hint of herbal plum. On the finish, this rises up, beats its chest, and shows gravitas and fine oak. Drink through 2024.",Cepa a Cepa,92,40.0,Northern Spain,Rioja,,Michael Schachner,@wineschach,Proelio 2012 Cepa a Cepa  (Rioja),Tempranillo,Proelio
42510,Italy,"Made with organically-farmed Glera grapes, this sparkling Prosecco Superiore opens with subtle tones of lemon or almond blossom with slightly more sweetness than you usually get with a Brut sparkler.",Canah Brut,85,13.0,Veneto,Conegliano Valdobbiadene Prosecco Superiore,,,,Perlage NV Canah Brut  (Conegliano Valdobbiadene Prosecco Superiore),Glera,Perlage
18096,France,"Classic botrytis sweet and dry flavors bring out the rich honey and lemon juice. The wine also has freshness, a tight edge of orange and sweet chutney spice. A great example of sweet Gaillac.",Renaissance Doux,91,30.0,Southwest France,Gaillac,,Roger Voss,@vossroger,Domaine Rotier 2007 Renaissance Doux Loin de l'Oeil (Gaillac),Loin de l'Oeil,Domaine Rotier
111189,South Africa,"Although relatively balanced, this wine has simple sensory findings of cherry, plum and cocoa. A note reminiscent of mint tea transforms to eucalyptus on the palate.",Estate,84,20.0,Franschhoek,,,,,La Motte 1999 Estate Cabernet Sauvignon (Franschhoek),Cabernet Sauvignon,La Motte
125695,US,"This Lake County Sauvignon Blanc from a Lodi-based producer shows off the North Coast appellation well, with pear compote and marshmallow on the nose, followed by a taste of apricot fuzz and oak, medium in body with a long-lasting finish.",Rooster Vineyard,86,13.0,California,Lake County,,Virginie Boone,@vboone,Van Ruiten 2012 Rooster Vineyard Sauvignon Blanc (Lake County),Sauvignon Blanc,Van Ruiten
101371,US,"The aromas of cocoa and dark raspberry are speckled with light barrel accents. The red-fruit flavors are ripe and generous, dipping in the middle before coming back together on the elegant finish.",One Olsen Vineyard,88,55.0,Washington,Yakima Valley,Columbia Valley,Sean P. Sullivan,@wawinereport,Brian Carter Cellars 2013 One Olsen Vineyard Merlot (Yakima Valley),Merlot,Brian Carter Cellars
47572,Germany,"Musky floral perfume accents fresher tones of crisp green melon and lime on the palate of this zippy Pinot Blanc. Dry in style with a delicacy of texture, it finishes brisk and spry. Drink now through 2018.",,88,12.0,Rheinhessen,,,Anna Lee C. Iijima,,P.J. Valckenberg 2014 Pinot Blanc (Rheinhessen),Pinot Blanc,P.J. Valckenberg
24294,Italy,"Thanks to its large case production, this crisp Greco di Tufo should be easy to locate at your local wine store or supermarket. It offers a wonderful introduction to southern Italian, volcanic soil winemaking thanks to drying mineral tones, pear and apple.",,88,20.0,Southern Italy,Greco di Tufo,,,,Feudi di San Gregorio 2010  Greco di Tufo,Greco,Feudi di San Gregorio
69253,US,"This is a likably round, approachable and affordable varietal wine, blended with small amounts of Merlot, Cabernet Franc, Malbec and Petit Verdot. Sage, blackberry and mocha dot the landscape of a rugged, succulent bounty, finishing with power and concentration.",,88,45.0,California,Napa Valley,Napa,Virginie Boone,@vboone,Madrigal 2013 Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Madrigal
44109,US,"A Sauvignon Blanc and Sémillon blend with crisp acidity, a smooth, clean finish and citrus and fig flavors.",Alluvium Blanc,84,16.0,California,Knights Valley,Sonoma,,,Beringer 2001 Alluvium Blanc Semillon-Sauvignon Blanc (Knights Valley),Semillon-Sauvignon Blanc,Beringer
95272,Chile,"Big, bold and bulky on the bouquet, with a truck load of ripe blackberry and boysenberry aromas that rightly announce that a fruit bomb is coming. Feels plump, round and structured, with soft tannins and compact flavors of berries, black plums and herbs. Finishes full, with a mild herbal accent.",Crucero Reserva,88,13.0,Colchagua Valley,,,Michael Schachner,@wineschach,Siegel 2010 Crucero Reserva Syrah (Colchagua Valley),Syrah,Siegel
9287,France,"This characteristic blend of Braucol, Duras, Syrah and Cabernet Sauvignon is light, soft and fruity with red berry flavors. It is ready to drink with its rounded, smooth aftertaste. Braucol is the local patois name for Fer Servadou.",,86,12.0,Southwest France,Gaillac,,Roger Voss,@vossroger,Château Lastours 2012 Red (Gaillac),Red Blend,Château Lastours
110086,US,"This medium-bodied Chardonnay smells sweet like marshmallows but tastes dry. It shows mild peach and lean apple flavors, a slight earthy touch and crisp-enough balance.",,84,25.0,California,North Coast,North Coast,Jim Gordon,@gordone_cellars,The Winery SF 2013 Chardonnay (North Coast),Chardonnay,The Winery SF
92808,US,"While the apricot, orange and green apple flavors in this Chardonnay are strong and sweet, the wine is balanced by brisk acidity and a minerality that feels and tastes like a lick of steel. It's a nice wine to drink now, although it's pricey for what you get.",,87,48.0,California,Russian River Valley,Sonoma,,,Rochioli 2009 Chardonnay (Russian River Valley),Chardonnay,Rochioli
25660,France,"Young and fruity, this wine can be enjoyed now for its fruitiness or aged over 2–3 years. The attractive black-currant flavor is pleasant now.",,84,,Bordeaux,Bordeaux,,Roger Voss,@vossroger,Augey 2011  Bordeaux,Bordeaux-style Red Blend,Augey
129360,Italy,"To preserve the freshness of its aromas, this was aged only in stainless steel . This bright Sauvignon delivers a spicy, fresh finish with lasting tones of white flower, peach and wild sage.",Lahn,87,20.0,Northeastern Italy,Alto Adige,,,,Cantina Produttori San Michele Appiano 2010 Lahn Sauvignon (Alto Adige),Sauvignon,Cantina Produttori San Michele Appiano
38573,US,"Ripe and forward in chocolate-covered raisin, cherry, peppermint and sweet oak flavors. With its fleshy mouthfeel, this pretty Merlot is ready to drink now.",Reserve,87,24.0,California,Napa Valley,Napa,,,Raymond 2005 Reserve Merlot (Napa Valley),Merlot,Raymond
108190,France,"This is crisp and attractively citrusy, with a touch of caramel. It's bright and fruity, with apple and lemon flavors that are well integrated with the piercingly refreshing acidity. Screwcap.",Saint-Martin,86,,Burgundy,Chablis,,Roger Voss,@vossroger,Domaine Laroche 2011 Saint-Martin  (Chablis),Chardonnay,Domaine Laroche
74746,France,"This ripe and fruity wine has just the right amount of mineral texture to give it a zesty character. It offers hints of toast, attractive juicy acidity and a lively, bright aftertaste. The wine needs to lose the slight earthy flavor from bottling that should soon blow away.",Les Charmes Dessus Premier Cru,90,108.0,Burgundy,Meursault,,Roger Voss,@vossroger,Domaine Antonin Guyon 2015 Les Charmes Dessus Premier Cru  (Meursault),Chardonnay,Domaine Antonin Guyon
8133,France,"This wine, blending one-third each of the three main Champagne grapes, is crisp, although with a dosage that gives it a soft edge. Full of ripe apple and warm melon fruit, it has acidity as well as a gentle texture. The wine is balanced and ready to drink.",Brut Extra Quality,87,40.0,Champagne,Champagne,,Roger Voss,@vossroger,Marie Copinet NV Brut Extra Quality  (Champagne),Champagne Blend,Marie Copinet
4484,France,This wine comes from a four-acre parcel of 55-year-old vines. It has the concentration that is so special to old vines. That goes with the ripe red fruits and generous tannins that give the wine great richness. It is a young wine still even though so fruity and will be better to drink from 2019.,Vieilles Vignes,91,64.0,Burgundy,Volnay,,Roger Voss,@vossroger,Domaine Henri Delagrange 2014 Vieilles Vignes  (Volnay),Pinot Noir,Domaine Henri Delagrange
